iter	Passed	Remaining
879	5158	703
880	5163	697
881	5169	691
882	5174	685
883	5180	679
884	5185	673
885	5191	667
886	5196	662
887	5201	656
888	5208	650
889	5215	644
890	5221	638
891	5227	632
892	5233	627
893	5239	621
894	5244	615
895	5250	609
896	5255	603
897	5261	597
898	5266	591
899	5272	585
900	5277	579
901	5283	574
902	5288	568
903	5294	562
904	5299	556
905	5305	550
906	5310	544
907	5315	538
908	5321	532
909	5326	526
910	5331	520
911	5337	515
912	5342	509
913	5348	503
914	5353	497
915	5358	491
916	5364	485
917	5369	479
918	5375	473
919	5380	467
920	5386	461
921	5391	456
922	5397	450
923	5402	444
924	5409	438
925	5416	432
926	5422	427
927	5429	421
928	5435	415
929	5441	409
930	5446	403
931	5452	397
932	5457	391
933	5463	386
934	5468	380
935	5473	374
936	5479	368
937	5484	362
938	5490	356
939	5495	350
940	5501	344
941	5507	339
942	5512	333
943	5517	327
944	5523	321
945	5528	315
946	5534	309
947	5539	303
948	5545	297
949	5550	292
950	5555	286
951	5561	280
952	5567	274
953	5572	268
954	5578	262
955	5583	256
956	5589	251
957	5594	245
958	5600	239
959	5606	233
960	5612	227
961	5618	221
962	5624	216
963	5631	210
964	5637	204
965	5642	198
966	5647	192
967	5653	186
968	5659	181
969	5665	175
970	5670	169
971	5676	163
972	5681	157
973	5686	151
974	5692	145
975	5697	140
976	5702	134
977	5708	128
978	5713	122
979	5719	116
980	5724	110
981	5729	105
982	5735	99
983	5740	93
984	5746	87
985	5751	81
986	5756	75
987	5761	69
988	5767	64
989	5773	58
990	5779	52
991	5784	46
992	5789	40
993	5795	34
994	5800	29
995	5807	23
996	5814	17
997	5821	11
998	5828	5
999	5833	0
